Timestamp,N,P,K,Temperature,Humidity,pH,Rainfall,Moisture_Voltage,Moisture_Status
2025-07-01 04:47:07,90,42,43,30.70000076,74.40000153,6.8,220,2.406358004,Moist
2025-07-01 04:47:17,90,42,43,30.70000076,74.30000305,6.8,220,2.40587616,Moist
2025-07-01 04:47:27,90,42,43,30.70000076,74.30000305,6.8,220,2.407106161,Moist
2025-07-01 04:47:37,90,42,43,30.70000076,74.19999695,6.8,220,2.406244993,Moist
2025-07-01 04:47:47,90,42,43,30.70000076,74.30000305,6.8,220,2.405470848,Moist
2025-07-01 04:47:57,90,42,43,30.70000076,74.19999695,6.8,220,2.404998541,Moist
2025-07-01 04:48:07,90,42,43,30.70000076,74.30000305,6.8,220,2.404652119,Moist
2025-07-01 04:48:17,90,42,43,30.70000076,74.19999695,6.8,220,2.404441833,Moist
2025-07-01 04:48:27,90,42,43,30.70000076,74,6.8,220,2.404060125,Moist
2025-07-01 04:48:37,90,42,43,30.70000076,74.09999847,6.8,220,2.403931141,Moist
2025-07-01 04:48:47,90,42,43,30.70000076,74.09999847,6.8,220,2.403995514,Moist
2025-07-01 04:48:57,90,42,43,30.70000076,74.09999847,6.8,220,2.403850555,Moist
